               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  43,            0.023012,            0.016796,            0.028433,                   0,                   0,                   0,                   0,                   0,            0.004272,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.023114,            0.016774,            0.028341,                   0,                   0,                   0,                   0,                   0,           0.0042795,                   0,            0.008581,            0.008581,            0.008581
                  45,             0.02319,            0.016746,            0.028119,                   0,                   0,                   0,                   0,                   0,           0.0042887,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.023241,            0.016762,            0.028608,                   0,                   0,                   0,                   0,                   0,            0.004286,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.023107,            0.016856,            0.028158,                   0,                   0,                   0,                   0,                   0,           0.0042798,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.023371,            0.016811,            0.027945,                   0,                   0,                   0,                   0,                   0,           0.0042846,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.023059,            0.016797,            0.027874,                   0,                   0,                   0,                   0,                   0,           0.0042951,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.023246,            0.016785,            0.027597,                   0,                   0,                   0,                   0,                   0,           0.0043113,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.023255,            0.016907,            0.027583,                   0,                   0,                   0,                   0,                   0,           0.0043289,                   0,             0.00835,             0.00835,             0.00835
                  52,             0.02316,            0.016711,            0.027845,                   0,                   0,                   0,                   0,                   0,           0.0043387,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.023022,            0.016746,            0.027094,                   0,                   0,                   0,                   0,                   0,           0.0043632,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.023132,             0.01669,            0.027362,                   0,                   0,                   0,                   0,                   0,           0.0043838,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.023245,            0.016852,            0.027033,                   0,                   0,                   0,                   0,                   0,           0.0043884,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.022974,            0.016806,             0.02706,                   0,                   0,                   0,                   0,                   0,            0.004387,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.023084,            0.016759,            0.027002,                   0,                   0,                   0,                   0,                   0,           0.0043962,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.023134,            0.016711,            0.026894,                   0,                   0,                   0,                   0,                   0,           0.0044051,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.023083,            0.016756,            0.027054,                   0,                   0,                   0,                   0,                   0,           0.0044123,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.022955,            0.016616,            0.026463,                   0,                   0,                   0,                   0,                   0,            0.004411,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.023087,             0.01677,            0.026772,                   0,                   0,                   0,                   0,                   0,           0.0044125,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.022999,            0.016581,            0.026448,                   0,                   0,                   0,                   0,                   0,           0.0044197,                   0,            0.007987,            0.007987,            0.007987
